timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1549615161877,12259,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549615161877,1704,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549615162877,12266,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549615162877,4255,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549615163877,12287,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549615163877,4260,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549615164878,12300,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549615164878,4380,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549615165878,12312,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549615165878,4015,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549615166878,12324,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549615166878,4119,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549615167878,12339,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549615167878,4505,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549615168879,12346,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549615168879,4619,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549615169879,12377,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549615169879,5125,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549615170879,12411,18.218.92.100 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549615170879,4750,18.218.92.100 CPU,,,,,true,,0,0,0,0,null,0,0,0
