Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,4,3,4,4,73,2,136,"0,00%","321,7","106,6","10,87"
Total,3000,4,3,4,4,73,2,136,"0,00%","321,7","106,6","10,87"
