Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,4,2,3,3,113,1,148,"0,00%","274,4","106,4","14,73"
Total,3000,4,2,3,3,113,1,148,"0,00%","274,4","106,4","14,73"
