Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,5,4,4,5,96,3,120,"0,00%","156,3","69,8","12,79"
Total,1000,5,4,4,5,96,3,120,"0,00%","156,3","69,8","12,79"
