Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,6,6,6,6,44,5,100,"0,00%","96,2","45,8","8,16"
Total,1000,6,6,6,6,44,5,100,"0,00%","96,2","45,8","8,16"
