Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,5,4,4,5,85,3,128,"0,00%","231,5","103,3","11,05"
Total,2000,5,4,4,5,85,3,128,"0,00%","231,5","103,3","11,05"
