timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1549605456783,11618,3.16.169.46 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549605456783,2627,3.16.169.46 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549605457783,11619,3.16.169.46 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549605457783,4369,3.16.169.46 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549605458784,11620,3.16.169.46 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549605458784,4380,3.16.169.46 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549605459784,11622,3.16.169.46 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549605459784,4030,3.16.169.46 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549605460784,11625,3.16.169.46 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549605460784,4625,3.16.169.46 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549605461785,11629,3.16.169.46 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549605461785,4613,3.16.169.46 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549605462785,11631,3.16.169.46 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549605462785,4856,3.16.169.46 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549605463785,11640,3.16.169.46 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549605463785,3894,3.16.169.46 CPU,,,,,true,,0,0,0,0,null,0,0,0
