Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,2,2,2,3,62,1,107,"0,00%","229,3","117,4","9,67"
Total,2000,2,2,2,3,62,1,107,"0,00%","229,3","117,4","9,67"
