Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,6,5,7,7,75,4,116,"0,00%","119,5","61,3","10,76"
Total,1000,6,5,7,7,75,4,116,"0,00%","119,5","61,3","10,76"
