Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,5,2,3,3,169,2,199,"0,00%","291,3","119,2","22,53"
Total,2000,5,2,3,3,169,2,199,"0,00%","291,3","119,2","22,53"
