Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,151701,1284,1267,2409,2700,3340,2,6127,"2,10%","389,1","198,2","849,37"
Total,151701,1284,1267,2409,2700,3340,2,6127,"2,10%","389,1","198,2","849,37"
