Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,3,2,2,3,70,1,110,"0,00%","336,2","172,0","11,03"
Total,3000,3,2,2,3,70,1,110,"0,00%","336,2","172,0","11,03"
