Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,5,4,5,7,86,2,157,"0,00%","186,9","71,0","13,26"
Total,2000,5,4,5,7,86,2,157,"0,00%","186,9","71,0","13,26"
