Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,5,4,5,6,55,3,96,"0,00%","96,0","36,5","8,86"
Total,1000,5,4,5,6,55,3,96,"0,00%","96,0","36,5","8,86"
