Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,28,25,33,41,135,17,177,"0,00%","185,9","70,6","14,89"
Total,2000,28,25,33,41,135,17,177,"0,00%","185,9","70,6","14,89"
