Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,5,3,4,5,134,1,159,"0,00%","277,5","69,9","18,22"
Total,2000,5,3,4,5,134,1,159,"0,00%","277,5","69,9","18,22"
