Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,89567,1227,694,2336,2841,6069,8,36756,"0,00%","676,3","346,8","2116,14"
Total,89567,1227,694,2336,2841,6069,8,36756,"0,00%","676,3","346,8","2116,14"
