Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,89927,1185,787,2468,3092,4556,9,21329,"0,00%","680,9","349,1","1232,67"
Total,89927,1185,787,2468,3092,4556,9,21329,"0,00%","680,9","349,1","1232,67"
