Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,2,1,2,2,75,0,116,"0,00%","421,9","187,8","10,51"
Total,3000,2,1,2,2,75,0,116,"0,00%","421,9","187,8","10,51"
