Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,5,4,4,5,82,3,100,"0,00%","155,7","69,5","11,40"
Total,1000,5,4,4,5,82,3,100,"0,00%","155,7","69,5","11,40"
