timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1549587535086,3181,18.191.170.119 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549587535086,30561,18.191.170.119 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549587536086,16938,18.191.170.119 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549587536086,30597,18.191.170.119 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549587537087,14392,18.191.170.119 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549587537087,30724,18.191.170.119 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549587538087,16100,18.191.170.119 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549587538087,30781,18.191.170.119 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549587539087,14713,18.191.170.119 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549587539087,30780,18.191.170.119 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549587540088,16436,18.191.170.119 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549587540088,30788,18.191.170.119 Memory,,,,,true,,0,0,0,0,null,0,0,0
