timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1549583413275,19241,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583413276,60415,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549583414276,71515,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583414276,60427,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549583415276,72133,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583415276,60464,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549583416277,70388,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583416277,60533,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549583417528,46212,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583417528,60721,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549583418529,68991,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583418529,60737,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549583419529,70062,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583419529,60754,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549583420529,70765,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583420529,60762,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549583421530,70551,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583421531,60764,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549583422536,69987,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583422536,60764,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549583423542,46095,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583423542,61203,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549583424547,71339,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583424547,61193,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549583425547,72133,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583425547,61201,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549583426548,71515,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583426548,61205,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549583427551,70287,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583427551,61206,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549583428555,70689,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583428555,61206,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549583429555,50875,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583429555,61659,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549583430558,66007,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583430558,61697,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549583431560,71677,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583431560,61696,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549583432562,70695,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583432562,61691,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
1549583433563,69647,18.188.171.52 CPU,,,,,true,,0,0,0,0,null,0,0,0
1549583433563,61667,18.188.171.52 Memory,,,,,true,,0,0,0,0,null,0,0,0
