Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,9199,9175,14674,15308,16479,371,17174,"0,00%","96,0","39,4","4123,74"
Total,2000,9199,9175,14674,15308,16479,371,17174,"0,00%","96,0","39,4","4123,74"
