Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,3000,4,2,2,3,126,1,162,"0,00%","334,4","171,1","16,27"
Total,3000,4,2,2,3,126,1,162,"0,00%","334,4","171,1","16,27"
