Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,13,12,15,18,43,7,124,"0,00%","185,8","70,6","9,05"
Total,2000,13,12,15,18,43,7,124,"0,00%","185,8","70,6","9,05"
