Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,1000,3,2,2,3,103,1,121,"0,00%","150,4","35,8","14,54"
Total,1000,3,2,2,3,103,1,121,"0,00%","150,4","35,8","14,54"
