Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Desv. Estándar
Petición HTTP,2000,3,1,1,2,113,0,133,"0,00%","279,0","66,5","14,60"
Total,2000,3,1,1,2,113,0,133,"0,00%","279,0","66,5","14,60"
